Uuid,Aid,Devid,Roomid,Date,Roomtype,Devtype,Initpower,Initusually,Initpeak,Initvalley,Inittip,Lastpower,Lastusually,Lastpeak,Lastvalley,Lasttip,Apportion,Price,Pricepeak,Pricevalley,Pricetip,Watermoney,Waterpower,Usually,Tip,Peak,Valley,Allpower,ApportionMoney,Allmoney,Status,Mark,Apportions,Ltime,Expand,Adduid,Lastuid,Addtime,Lasttime
66f43de923ca974434759ea3,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-26,1,64,3714.18,0,0,0,0,3720.03,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,5.85,0,7.605,0,,[],2024-09-26T19:53:58.206+08:00,,000000000000000000000000,000000000000000000000000,2024-09-26T00:44:25.414+08:00,2024-09-26T00:44:25.414+08:00
66f2ee3023ca97443468872a,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-25,1,64,3708.83,0,0,0,0,3714.18,0,0,0,0,0,1.3,0,0,0,5.0,3.8462,0,0,0,0,9.1962,0,16.9551,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.1, 'Money': 5, 'Power': 0}]",2024-09-25T23:44:08.145+08:00,,000000000000000000000000,000000000000000000000000,2024-09-25T00:52:00.632+08:00,2024-09-25T00:52:00.632+08:00
66f19b7423ca971e32476e7f,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-24,1,64,3703.86,0,0,0,0,3708.83,0,0,0,0,0,1.3,0,0,0,2.5,1.9231,0,0,0,0,6.8931,0,11.461,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.05, 'Money': 2.5, 'Power': 0}]",2024-09-24T23:51:43.734+08:00,,000000000000000000000000,000000000000000000000000,2024-09-24T00:46:44.413+08:00,2024-09-24T00:46:44.413+08:00
66f04c5423ca971e323ac598,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-23,1,64,3699.0,0,0,0,0,3703.86,0,0,0,0,0,1.3,0,0,0,1.5,1.1538,0,0,0,0,6.0138,0,9.3179,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.03, 'Money': 1.5, 'Power': 0}]",2024-09-23T23:46:27.677+08:00,,000000000000000000000000,000000000000000000000000,2024-09-23T00:56:52.055+08:00,2024-09-23T00:56:52.055+08:00
66eef9bc23ca971e322ba217,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-22,1,64,3692.35,0,0,0,0,3699.0,0,0,0,0,0,1.3,0,0,0,12.0,9.2308,0,0,0,0,15.8808,0,32.645,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.24, 'Money': 12, 'Power': 0}]",2024-09-22T23:56:34.923+08:00,,000000000000000000000000,000000000000000000000000,2024-09-22T00:52:12.449+08:00,2024-09-22T00:52:12.449+08:00
66eda7f323ca971e321cd8da,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-21,1,64,3684.02,0,0,0,0,3692.35,0,0,0,0,0,1.3,0,0,0,5.0,3.8462,0,0,0,0,12.1762,0,20.8291,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.1, 'Money': 5, 'Power': 0}]",2024-09-21T23:51:55.488+08:00,,000000000000000000000000,000000000000000000000000,2024-09-21T00:50:59.151+08:00,2024-09-21T00:50:59.151+08:00
66ec555323ca971e320d7ccb,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-20,1,64,3674.27,0,0,0,0,3684.02,0,0,0,0,0,1.3,0,0,0,2.5,1.9231,0,0,0,0,11.6731,0,17.675,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.05, 'Money': 2.5, 'Power': 0}]",2024-09-20T23:50:41.839+08:00,,000000000000000000000000,000000000000000000000000,2024-09-20T00:46:11.471+08:00,2024-09-20T00:46:11.471+08:00
66eb068b23ca971e32010857,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-19,1,64,3665.71,0,0,0,0,3674.27,0,0,0,0,0,1.3,0,0,0,2.5,1.9231,0,0,0,0,10.4831,0,16.128,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.05, 'Money': 2.5, 'Power': 0}]",2024-09-19T23:45:54.249+08:00,,000000000000000000000000,000000000000000000000000,2024-09-19T00:57:47.447+08:00,2024-09-19T00:57:47.447+08:00
66e9aa8e23ca971e32e9aadb,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-18,1,64,3654.84,0,0,0,0,3665.71,0,0,0,0,0,1.3,0,0,0,3.5,2.6923,0,0,0,0,13.5623,0,21.131,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.07, 'Money': 3.5, 'Power': 0}]",2024-09-18T23:57:30.388+08:00,,000000000000000000000000,000000000000000000000000,2024-09-18T00:13:02.986+08:00,2024-09-18T00:13:02.986+08:00
66e860af23ca971e32e25728,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-17,1,64,3645.51,0,0,0,0,3654.84,0,0,0,0,0,1.3,0,0,0,0.0,0.0,0,0,0,0,9.33,0,12.129,0,,[],2024-09-17T23:12:45.779+08:00,,000000000000000000000000,000000000000000000000000,2024-09-17T00:45:35.855+08:00,2024-09-17T00:45:35.855+08:00
